"episode_id";"episode_title";"year";"episode_rating";"episode_votes"
"tt5432604";"Happy Birthday, Lee Harvey Oswald";"2016";"8,2";"1310"
"tt5432610";"Soldier Boy";"2016";"8,2";"1232"
"tt5432614";"The Day in Question";"2016";"9,2";"2077"
"tt4854626";"What the Fire Throws";"2016";"8,0";"326"
"tt5238888";"The Era of the Ladder";"2016";"8,3";"310"
"tt5195292";"A Homecoming";"2016";"8,6";"102"
"tt5238892";"The Future";"2016";"N/A";"N/A"
"tt5593760";"The Hole";"2016";"8,3";"66"
"tt5593768";"Breaking and Entering";"2016";"8,4";"76"
"tt5261762";"Refugees";"2016";"9,1";"58"
"tt5593772";"The Shore";"2016";"8,5";"146"
"tt5593782";"Episode #1.9";"2016";"N/A";"N/A"
"tt5593786";"Episode #1.10";"2016";"N/A";"N/A"
"tt5767460";"Liminal Twilight";"2017";"7,9";"106"
"tt6186082";"Dead Moon";"2017";"7,8";"78"
"tt5834016";"The Father and the Son";"2017";"7,6";"64"
"tt5834018";"The Red Wall";"2017";"8,0";"47"
"tt6096392";"Why We Source";"2017";"8,0";"46"
"tt6186084";"For Our Safety";"2017";"7,5";"51"
"tt6081346";"Episode #2.7";"2017";"N/A";"N/A"
"tt6081352";"Return";"2017";"7,9";"62"
"tt6139438";"Oz";"2017";"8,2";"65"
"tt6186088";"Restitution";"2017";"7,8";"53"
"tt6291352";"Episode #2.11";"2017";"8,5";"12"
"tt6291374";"Spiritus Mundi";"2017";"8,7";"81"
"tt6231422";"Mercy";"2017";"7,1";"56"
"tt5636068";"The Summer of Love";"2016";"8,4";"308"
"tt5834970";"The Axiom of Choice";"2016";"8,9";"28"
"tt5882104";"Hiring It Done";"2016";"9,0";"34"
"tt5901904";"The Mad Doctor";"2016";"N/A";"N/A"
"tt5973682";"A Still Point in the Turning World";"2016";"N/A";"N/A"
"tt5955508";"The Unflinching Spark";"2016";"N/A";"N/A"
"tt6053498";"Unlocking";"2016";"N/A";"N/A"
"tt6033986";"Episode #1.8";"2016";"N/A";"N/A"
"tt6039302";"Camera Obscura";"2016";"N/A";"N/A"
"tt5787392";"Episode #1.10";"2016";"N/A";"N/A"
"tt5642210";"Episode #1.1";"2016";"N/A";"N/A"
"tt5671114";"The Hanged Man";"2016";"6,8";"33"
"tt5647734";"The Fool";"2016";"6,0";"26"
"tt5728520";"The Tower - Reversed";"2016";"6,3";"23"
"tt5728528";"The Magician";"2016";"6,2";"20"
"tt5728530";"Judgment";"2016";"6,0";"20"
"tt5728534";"Two of Swords";"2016";"6,7";"21"
"tt5728538";"Five of Cups";"2016";"6,6";"20"
"tt5728540";"Wheel of Fortune";"2016";"6,7";"22"
"tt5728546";"Ace of Swords";"2016";"7,5";"28"
"tt5868512";"Episode #1.1";"2017";"7,9";"80"
"tt5928408";"Episode #1.2";"2017";"7,8";"22"
"tt5928412";"Episode #1.3";"2017";"N/A";"N/A"
"tt5928422";"Episode #1.4";"2017";"8,5";"32"
"tt5928428";"Episode #1.5";"2017";"8,4";"33"
"tt5928432";NA;NA;NA;NA
"tt5928440";"Episode #1.7";"2017";"8,5";"22"
"tt5928444";"Episode #1.8";"2017";"N/A";"N/A"
"tt5842308";"Polybius";"2017";"6,7";"27"
"tt5866850";"Chronos";"2017";"7,1";"62"
"tt5866542";"Cinethrax";"2017";"6,2";"66"
"tt5866522";"Bob";"2017";"7,2";"60"
"tt5931646";"Offred";"2017";"8,6";"747"
"tt5931648";"Birth Day";"2017";"8,5";"716"
"tt5931652";"Late";"2017";"9,1";"649"
"tt5937294";"Nolite Te Bastardes Carborundorum";"2017";"8,5";"439"
"tt5941434";"Faithful";"2017";"8,6";"391"
"tt5943926";"A Woman's Place";"2017";"9,1";"364"
"tt5943928";"The Other Side";"2017";"8,1";"576"
"tt5943930";"Jezebels";"2017";"9,0";"50"
"tt5943932";"The Bridge";"2017";"N/A";"N/A"
"tt5931656";"Episode #1.10";"2017";"N/A";"N/A"
"tt2320984";"Chicago: To Conjure a Lost Neighborhood";"2012";"N/A";"N/A"
"tt2309108";"Kansas & Missouri: In the Middle of the Middle of the Midwest";"2012";"N/A";"N/A"
"tt2320990";"Virginia: The Many Flavors of Thomas Jefferson";"2012";"N/A";"N/A"
"tt2181394";"New York City: The Beauty of Randomness";"2012";"N/A";"N/A"
"tt2320992";"The Tour Guide Convention";"2012";"N/A";"N/A"
"tt2911154";"Temperance";"2013";"7,4";"15"
"tt2911160";"Honey's Beau";"2013";"8,1";"16"
"tt3396332";"Election Night";"2014";"8,4";"7"
"tt3108546";"It's a Mad Mad Mad Mad Parallel World";"2013";"8,4";"14"
"tt4022842";"Secret Santa";"2014";"7,6";"5"
"tt4040010";"Euro-Awesomes";"2014";"7,3";"8"
"tt4057430";"Day of Awesomes, Part 1";"2014";"N/A";"N/A"
"tt4072228";"Day of Awesomes, Part 2";"2014";"7,2";"6"
"tt5021312";"Seaman's Revenge";"2015";"7,7";"9"
"tt5021328";"Villain-Tine's Day";"2015";"7,8";"6"
"tt5040318";"Les Miserawesomes";"2015";"7,4";"5"
"tt5052436";"Awesomes for Hire";"2015";"N/A";"N/A"
"tt5069878";"Indiana Johnson and the Nazi Granddaughters";"2015";"N/A";"N/A"
"tt5090522";"The Dames of Danger";"2015";"N/A";"N/A"
"tt5110158";"The Awesomes Reloaded";"2015";"N/A";"N/A"
"tt5118008";"The GayFather";"2015";"N/A";"N/A"
"tt5120218";"Super(Hero) Tuesday";"2015";"N/A";"N/A"
"tt5120246";"The Final Showdown";"2015";"N/A";"N/A"
"tt3246194";"Apple's Story";"2013";"N/A";"N/A"
"tt3276660";"The Sexorcism";"2014";"7,6";"74"
"tt3399880";"The Hot God Contest";"2014";"7,7";"34"
"tt3465036";"The Knockoff";"2014";"7,7";"47"
"tt3465038";"The Comedium";"2014";"7,5";"36"
"tt3394080";"Out-Of-Body Issues";"2014";"7,5";"30"
"tt3465040";"The Ghost in the Machine";"2014";"8,0";"25"
"tt3465042";"Sixty Feet Under";"2014";"8,3";"19"
"tt3465044";"Pieces of Sue";"2014";"8,5";"19"
"tt4117846";"Episode #2.1";"2015";"N/A";"N/A"
"tt4117844";"Table for Sue";"2015";"7,9";"23"
"tt4136952";"Ghosts Just Wanna Have Fun";"2015";"9,0";"6"
"tt4136972";"Last Dance with Edith Jane";"2015";"9,0";"7"
"tt4136970";"The Occult Leader";"2015";"7,9";"18"
"tt4136978";"Good Will Haunting";"2015";"7,5";"17"
"tt4136980";"The Blowfish Job";"2015";"8,7";"6"
"tt4136982";"The Spank Job";"2015";"8,7";"7"
"tt4232252";"The Emancipation Apparition";"2015";"8,3";"27"
